graph,M1-original,M1-original_r0,M1-original_r1,M1-shortcut,M1-shortcut_r0,M1-shortcut_r1,M2-original,M2-original_r0,M2-original_r1,M2-shortcut,M2-shortcut_r0,M2-shortcut_r1,same_original,same_shortcut,complete,single_shortcut_gain
NY,6.4630399999999995,6.373835,6.474245,6.009793999999999,6.039566,5.94804,7.1297365,7.223752,7.090046,6.3752130000000005,6.433365,6.076334,0.9064907237455408,0.9426812876683491,1.0137763240224287,1.0754178928595557
BAY,5.124087,5.128307,4.981277,4.128704,4.111088,4.145488,5.7296415,5.871608,5.654455,4.741928,4.708602,4.856401,0.8943119739690522,0.8706804489650624,1.0805914809334938,1.2410884868472045
COL,8.629116,8.702893,8.50703,5.7924690000000005,5.821306,5.647734,9.7735385,9.791533,9.755544,6.937176,6.912861,7.005143,0.8829060222149837,0.8349894827520594,1.2438946337818155,1.4897129358827814
FLA,20.2767845,20.054224,22.463255,17.308101,17.315136,17.301066,21.421107999999997,21.456348,20.940593,17.6974545,17.758757,17.068693,0.9465796307081783,0.9779994631431318,1.1457458189820464,1.1715198853993283
CAL,25.0760885,25.378954,24.773223,17.146794,17.954368,16.892898,27.690725,28.108607,26.76752,18.0617105,18.063696,18.059725,0.9055771743065594,0.9493449692929139,1.3883562412319697,1.4624359807436889
E,29.1492295,29.166798,29.131661,23.4167415,23.45482,23.226496,30.589239999999997,30.405689,30.661929,24.228617,24.495284,24.187794,0.9529242799101908,0.9664910506447809,1.203090935813629,1.2448029756830172
W,38.2060595,38.792901,37.63728,29.167167499999998,29.625658,28.918645,43.286013,43.311289,43.157335,30.012015499999997,29.992471,30.03156,0.8826421481692021,0.971849674674465,1.2730254487573487,1.3098995471534904
USA,96.67506850000001,95.523284,97.826853,75.3453575,76.27744,75.063913,112.14104449999999,113.285987,110.116049,68.20657499999999,67.581455,68.420611,0.8620846089943457,1.104664139784178,1.4173863516823713,1.2830925714301642
