0, GPU-14740a2b-c6f1-76c6-fd69-dc9d036f3ab3, NVIDIA A100 80GB PCIe
1, GPU-5a40464a-79b5-7559-27c4-49b0a63b164a, NVIDIA A100 80GB PCIe
