graph,ADDS_G,ADDS_Gp,M1_original,M1_shortcut,M2_original,M2_shortcut,ADDS_G_over_M2_shortcut,ADDS_Gp_over_M2_shortcut,ADDS_shortcut_gain,ADDS_G_over_M1_original,ADDS_Gp_over_M1_shortcut
NY,10.6574685,9.709357,6.4630399999999995,6.009793999999999,7.1297365,6.3752130000000005,1.6717039101281792,1.5229855065234683,1.097649257309212,1.648986931846314,1.615588986910367
BAY,13.1007555,11.427104,5.124087,4.128704,5.7296415,4.741928,2.7627487173993366,2.409801245400605,1.1464633121392787,2.5567004424397943,2.7677217838818184
COL,24.961257500000002,18.457121,8.629116,5.7924690000000005,9.7735385,6.937176,3.598187144163562,2.660610167595575,1.3523917137456054,2.8926784041378055,3.18639961646752
FLA,54.645424,44.995158,20.2767845,17.308101,21.421107999999997,17.6974545,3.08775615159796,2.542464962969675,1.214473432896935,2.69497483686331,2.599658853388942
CAL,37.1897015,22.9162335,25.0760885,17.146794,27.690725,18.0617105,2.0590354108488227,1.2687742669776487,1.622854013073309,1.4830742641540764,1.3364733663914083
E,39.737751,30.340698500000002,29.1492295,23.4167415,30.589239999999997,24.228617,1.6401163549698277,1.252267040252442,1.3097177377112792,1.3632521916231097,1.295684051515024
W,55.234947500000004,38.648937000000004,38.2060595,29.167167499999998,43.286013,30.012015499999997,1.8404277946611087,1.2877821217971852,1.429145321642352,1.445711707065734,1.3250836578491898
USA,136.3699095,95.2021465,96.67506850000001,75.3453575,112.14104449999999,68.20657499999999,1.9993660361922592,1.3957913368322632,1.4324247352973287,1.4106005986434857,1.2635436297452034
