graph,variant,n,median_ms,q25_ms,q75_ms,iqr_ms,mad_ms,min_ms,max_ms
NY,M1-original,10,6.4630399999999995,6.38864375,6.66718275,0.2785390000000003,0.1286195000000001,6.283592,11.200199
NY,M1-shortcut,10,6.009793999999999,5.890377,6.17745625,0.2870792499999997,0.16079450000000017,5.806364,7.002081
NY,M2-original,10,7.1297365,7.083086,7.2133295,0.13024350000000062,0.05533250000000001,7.047525,7.959609
NY,M2-shortcut,10,6.3752130000000005,6.079249750000001,6.64148975,0.5622399999999992,0.30089250000000023,6.025332,7.211286
BAY,M1-original,10,5.124087,4.989804250000001,5.4210735,0.4312692499999997,0.17374200000000029,4.87892,7.156107
BAY,M1-shortcut,10,4.128704,4.1097515,4.21531325,0.10556175000000056,0.03568049999999978,4.032772,4.260751
BAY,M2-original,10,5.7296415,5.580896749999999,6.16396325,0.583066500000001,0.1541199999999998,5.566599,7.025881
BAY,M2-shortcut,10,4.741928,4.70510175,4.95563125,0.25052949999999985,0.139351,4.569187,5.241179
COL,M1-original,10,8.629116,8.505913249999999,8.778517,0.2726037500000018,0.1280454999999998,8.47629,10.840708
COL,M1-shortcut,10,5.7924690000000005,5.626347,6.32058825,0.6942412500000001,0.2816350000000005,5.488462,7.374888
COL,M2-original,10,9.7735385,9.6925665,9.92007175,0.2275052500000001,0.13053049999999988,9.615657,13.762758
COL,M2-shortcut,10,6.937176,6.8858352499999995,7.12486325,0.23902800000000024,0.08275000000000032,6.813451,7.35077
FLA,M1-original,10,20.2767845,20.083605249999998,22.098691249999998,2.015086,0.4292195000000021,19.795775,28.778458
FLA,M1-shortcut,10,17.308101,17.23298675,17.44124825,0.20826150000000254,0.1295730000000006,16.618153,17.813176
FLA,M2-original,10,21.421107999999997,20.90531,21.64541275,0.7401027499999984,0.42424199999999956,20.385906,23.471265
FLA,M2-shortcut,10,17.6974545,17.1928585,17.95946225,0.7666037500000016,0.3661095000000003,16.102165,18.156273
CAL,M1-original,10,25.0760885,24.4010655,25.544682,1.1436165000000003,0.6539935000000003,23.879455,32.599213
CAL,M1-shortcut,10,17.146794,16.8307575,18.57418975,1.743432249999998,0.5353469999999998,16.45357,20.55754
CAL,M2-original,10,27.690725,26.643404,28.223887249999997,1.5804832499999968,1.0059489999999993,26.270435,30.557518
CAL,M2-shortcut,10,18.0617105,17.878819749999998,18.13823975,0.2594200000000022,0.1593940000000007,17.644955,22.0405
E,M1-original,10,29.1492295,28.48057325,33.03097975,4.550406500000001,0.861774500000001,28.280572,36.034706
E,M1-shortcut,10,23.4167415,23.15408875,23.64323975,0.48915099999999967,0.25964399999999976,22.914769,26.9518
E,M2-original,10,30.589239999999997,30.42058975,30.801952500000002,0.38136275000000097,0.18385949999999696,30.27855,34.252558
E,M2-shortcut,10,24.228617,24.06360175,25.2263765,1.1627747500000005,0.35961950000000087,23.683519,26.033796
W,M1-original,10,38.2060595,37.66210425,38.7868315,1.1247272499999994,0.5778105000000018,37.349145,40.103545
W,M1-shortcut,10,29.167167499999998,28.948119000000002,29.532263750000002,0.5841447500000001,0.35350649999999995,28.274416,35.178088
W,M2-original,10,43.286013,43.148647,43.358486250000006,0.2098392500000088,0.13446999999999676,43.012561,43.551573
W,M2-shortcut,10,30.012015499999997,29.485563250000002,30.310337,0.8247737499999985,0.46835199999999944,29.291722,37.524603
USA,M1-original,10,96.67506850000001,95.3413645,100.19253599999999,4.851171499999992,1.4311215000000104,94.279763,103.772311
USA,M1-shortcut,10,75.3453575,74.87689375000001,76.05072224999999,1.1738284999999848,0.7314429999999987,73.976808,78.231174
USA,M2-original,10,112.14104449999999,108.35311024999999,120.94865075,12.595540500000013,6.537525500000001,99.283904,125.7237
USA,M2-shortcut,10,68.20657499999999,67.679674,70.097617,2.417942999999994,0.6308929999999862,66.353552,71.077387
