evidence_id,job,category,graph,view,source_name,outer_workflow,inner_sampling,evidence_classification,measurement_valid,performance_target,performance_target_met,classification,samples_per_role,formal_samples_per_role,T1_solve_median_ms,T1_solve_iqr_ms,T1_solve_mad_ms,T2_solve_median_ms,T2_solve_iqr_ms,T2_solve_mad_ms,solve_speedup_T1_over_T2,T1_query_wall_median_ms,T1_query_wall_iqr_ms,T1_query_wall_mad_ms,T2_query_wall_median_ms,T2_query_wall_iqr_ms,T2_query_wall_mad_ms,query_wall_speedup_T1_over_T2,samples_sha256,recorded_summary_sha256,logical_source,layout_source
JobA_FLA_G,JobA,eight_graph,FLA,G,,formal JobA,exploratory,full_sample_clean_sha_extension_regression,True,1.2,False,VALID_BELOW_TARGET,10,,20.637974999999997,0.28151300000000035,0.16562399999999755,21.9721555,0.776541500000004,0.4285085000000013,0.9392785791999332,24.5621715,0.6288270000000011,0.34530100000000097,25.250264,0.7454732499999999,0.3389734999999998,0.9727490968015226,d6483870af86fdba4c75769cb3e7516696c7ecfa2f5329e9080d8b9791818b93,ea91073a95256011356fa94b466a8b5524e0c8a2764eb7f4611822db5909ae2d,0,0
JobA_FLA_G_plus,JobA,eight_graph,FLA,G+,,formal JobA,exploratory,full_sample_clean_sha_extension_regression,True,1.2,False,VALID_BELOW_TARGET,10,,17.326173500000003,0.3440899999999978,0.17566999999999844,18.116093999999997,1.0975212499999962,0.5991114999999958,0.9563967541789089,21.460463500000003,0.38777399999999673,0.20846350000000058,21.3212265,0.931824749999997,0.5694180000000006,1.006530440450975,534de4aa2858d3c8d19a683c39145fcf567a14e339ec2b3c030f18d10354527a,7b682e7c02917c8bcd861c87bff7330f07c150838542b5fc5c4a66a0be693c96,0,0
JobA_CAL_G,JobA,eight_graph,CAL,G,,formal JobA,exploratory,full_sample_clean_sha_extension_regression,True,1.2,False,VALID_BELOW_TARGET,10,,24.346728,0.4060192500000035,0.24034900000000192,26.923645,0.3891870000000033,0.18554900000000174,0.9042879595240539,29.372946499999998,0.48758799999999525,0.28315999999999875,30.8085965,0.6863942499999993,0.2876934999999996,0.9534009931286548,09f367f29ca6dcbf2d1848049c11c5ecbcd3c94917b1a2fca53ba694ae257ab4,995612eb122db817a14e6c6bcbc1800c5d0b74f6ef310cc238acc9616fa8f7a9,945407,945407
JobA_CAL_G_plus,JobA,eight_graph,CAL,G+,,formal JobA,exploratory,full_sample_clean_sha_extension_regression,True,1.2,False,VALID_BELOW_TARGET,10,,16.982048499999998,0.44967274999999773,0.25113699999999994,18.310323,0.3286077499999962,0.1748265,0.9274576150295109,22.4964015,0.6579132499999965,0.3587150000000001,21.640262999999997,0.44306249999999636,0.19487699999999641,1.0395622964471367,c3bddfa3bc6068be5c21e51297e527eba6a68696e2a1d33b9f064404ea5d97a8,66156151524799490974c1af95397f9acaf49377e0029c78490289a018ec80c4,945407,945407
JobA_E_G,JobA,eight_graph,E,G,,formal JobA,exploratory,full_sample_clean_sha_extension_regression,True,1.2,False,VALID_BELOW_TARGET,10,,28.3792305,0.34091974999999763,0.16291349999999838,33.358881499999995,0.5250142500000052,0.30702850000000126,0.8507248811684529,36.006579,0.2749702499999884,0.14815049999999985,37.486250999999996,1.1061130000000006,0.6364139999999985,0.9605276078421394,2d80643bc5e93a60436f1fc186050af625ca55ae77c3e697dae24149ab92845f,debbf4a5c390c0b95b0f3ae746cf806571c6f62728f229ed4736f2f7b29f3f8f,1799311,1799311
JobA_E_G_plus,JobA,eight_graph,E,G+,,formal JobA,exploratory,full_sample_clean_sha_extension_regression,True,1.2,False,VALID_BELOW_TARGET,10,,22.781178,0.20701449999999966,0.11898549999999908,24.7179085,3.7603897500000016,0.7569200000000009,0.9216466676377575,30.12469,0.16220225,0.099101000000001,28.8900425,3.7015842499999962,1.0597589999999997,1.0427360915097303,7e4385fffc1df0250e596ff9150dc4f941cbb06f190995895c267db30ce32af8,c5514d4b0656667b2a5a0732e12fa83d2711790d3c57a31935a56f45a6be7838,1799311,1799311
JobA_W_G,JobA,eight_graph,W,G,,formal JobA,exploratory,full_sample_clean_sha_extension_regression,True,1.2,False,VALID_BELOW_TARGET,10,,38.1140805,0.2803722500000063,0.15230400000000088,44.991662500000004,0.35832450000000904,0.16594499999999712,0.8471365222389814,50.44314,1.19810875000001,0.6021704999999997,49.468713,0.5179307499999908,0.2697425000000031,1.0196978441707185,cc47fd9b3ee6b402c1a7a2059c5b6286c2532088e061abcc08b51c19da13b11e,4a26ee9616d5de22671aa5d5f5c4633bfaa1b212a326a01802066b0ac9baed1f,3131052,3131052
JobA_W_G_plus,JobA,eight_graph,W,G+,,formal JobA,exploratory,full_sample_clean_sha_extension_regression,True,1.2,False,VALID_BELOW_TARGET,10,,29.44752,0.46793875000000185,0.2760454999999986,30.033317,7.440023,0.2698689999999999,0.9804950948308507,41.3218275,0.38263524999999987,0.19944449999999847,34.8038095,7.654818999999996,0.42463550000000083,1.1872788666999226,7cc5651113fc0ca55afb6c7cd078080ad20e61676030799584f8502a6bf5ecf3,62dd377336585dd384979a975ddb5e67dd67ca0ff9bd84a370d526df00fe8f89,3131052,3131052
JobA_USA_G,JobA,eight_graph,USA,G,,formal JobA,exploratory,full_sample_clean_sha_extension_regression,True,1.2,False,VALID_BELOW_TARGET,10,,94.5793005,1.268558249999998,0.7353275000000039,98.1853925,0.33903175000000374,0.2547334999999933,0.9632726222487729,177.0330555,2.059527250000002,0.94176250000001,107.47370699999999,0.7740064999999987,0.29830100000000215,1.6472220084490061,af5cfd4729c111d6602de0e2da3f2f0246cf3fa7a1e436c7f0f6e98d80cc5bd9,0185c688c9060c6c734bac4f6b6dab8da9ea9a69eb5162c232052a502c3eee9a,11973673,11973673
JobA_USA_G_plus,JobA,eight_graph,USA,G+,,formal JobA,exploratory,full_sample_clean_sha_extension_regression,True,1.2,False,VALID_BELOW_TARGET,10,,74.411929,0.5200820000000022,0.2948675000000023,68.62012,1.2520469999999904,0.6012285000000048,1.084403947413674,154.19213100000002,1.0341655000000003,0.6215239999999937,77.440911,0.9418067499999978,0.5401999999999987,1.9910939709890554,a9468d68c769138237854fc38689216250db6075d10a1165e2237a2aa0065285,0dfd3b79d9af40db523193d8afbce765eb60a92d2a9b23a3f2c12eb3160a4e9e,11973673,11973673
