graph,M1-original,M1-original_r0,M1-original_r1,M1-shortcut,M1-shortcut_r0,M1-shortcut_r1,M2-original,M2-original_r0,M2-original_r1,M2-shortcut,M2-shortcut_r0,M2-shortcut_r1,same_original,same_shortcut,complete,single_shortcut_gain
NY,6.4639045,6.420906,6.506903,6.117844,6.049068,6.18662,7.103265,7.029485,7.268132,6.210695,6.151203,6.253678,0.9099906169909189,0.9850498213162938,1.04076991383412,1.0565657607483945
BAY,5.019368,5.025192,5.013544,4.1834055,4.18398,4.182831,5.549982,5.716152,5.512804,4.649065,4.670648,4.582533,0.9043935637989456,0.8998380319483595,1.079651069623677,1.199828226070841
COL,8.5388695,8.518915,8.558824,5.894175000000001,5.861924,5.926426,9.7889195,9.760113,9.817726,6.9472205,6.863869,7.030572,0.8722994912768463,0.8484220415920296,1.229105870470068,1.4486962976158664
FLA,20.7485375,20.594615,21.708489,17.4176565,17.366373,17.46894,21.160774500000002,21.238078,21.083471,17.879218,18.068932,17.689504,0.9805188132409803,0.9741844693654945,1.1604835010121808,1.191235887560419
CAL,25.032823999999998,27.964954,24.683725,17.172477,17.337522,17.071106,27.4823665,27.428014,27.581211,18.0065365,18.400096,17.705026,0.9108685745821778,0.9536801816384846,1.390207605999077,1.4577293654258496
E,28.4198135,28.529413,28.225251,23.284623,23.511887,23.127423,31.340939499999998,31.411927,31.269952,24.198290999999998,24.232246,23.948305,0.9067951999333014,0.9622424575355343,1.1744553985238049,1.220539988987582
W,38.234154000000004,38.544013,38.001001,29.2832485,29.315569,29.282284,43.2930785,43.337708,43.216395,29.984233,30.029943,29.938523,0.8831470370026933,0.9766215630728323,1.2751419721158117,1.3056664119761168
USA,96.2064055,96.197331,96.878017,75.3244055,75.38745,75.261361,119.47115550000001,113.177097,123.919688,69.102925,68.861672,71.064717,0.805268896055835,1.090032086196062,1.3922190052012995,1.2772275447962216
