graph,variant,n,median_ms,q25_ms,q75_ms,iqr_ms,mad_ms,min_ms,max_ms
NY,M1-original,10,6.4639045,6.2915445,6.976578,0.6850335000000003,0.22030450000000013,6.191986,11.217291
NY,M1-shortcut,10,6.117844,5.9553579999999995,6.201295249999999,0.24593724999999989,0.11545300000000003,5.816231,7.01834
NY,M2-original,10,7.103265,7.01723,7.30256825,0.28533825000000057,0.11219850000000031,6.98499,8.27178
NY,M2-shortcut,10,6.210695,6.1543019999999995,6.3310345,0.17673250000000085,0.06225150000000035,6.100568,6.51875
BAY,M1-original,10,5.019368,4.96914125,5.0669794999999995,0.09783824999999968,0.058558999999999806,4.84616,5.275139
BAY,M1-shortcut,10,4.1834055,4.14223675,4.3335255,0.19128875,0.05997800000000009,4.122719,7.536942
BAY,M2-original,10,5.549982,5.502379749999999,5.72787675,0.22549700000000072,0.11201749999999988,5.422348,5.85139
BAY,M2-shortcut,10,4.649065,4.5758475,4.71223275,0.13638525,0.07103250000000028,4.493947,5.379584
COL,M1-original,10,8.5388695,8.39294425,8.677680500000001,0.2847362500000017,0.1781790000000001,8.28744,11.863859
COL,M1-shortcut,10,5.894175000000001,5.664623,6.024730249999999,0.36010724999999955,0.21132800000000085,5.518345,7.113219
COL,M2-original,10,9.7889195,9.732013,9.84052375,0.10851074999999888,0.0600189999999996,9.623322,10.910559
COL,M2-shortcut,10,6.9472205,6.528406,7.0660542500000005,0.5376482500000002,0.2964574999999998,6.388844,8.34163
FLA,M1-original,10,20.7485375,20.109992000000002,22.148847749999998,2.038855749999996,0.8494635000000024,19.844668,27.187743
FLA,M1-shortcut,10,17.4176565,17.253885500000003,17.63868525,0.3847997499999991,0.22059799999999896,16.920777,23.148168
FLA,M2-original,10,21.160774500000002,20.6005905,21.2949015,0.6943110000000026,0.3539335000000001,20.526877,22.172607
FLA,M2-shortcut,10,17.879218,17.159178000000004,18.19373875,1.0345607499999971,0.3502484999999993,16.778492,18.468867
CAL,M1-original,10,25.032823999999998,24.48302375,27.396708249999996,2.913684499999995,0.6188699999999994,24.10031,42.91178
CAL,M1-shortcut,10,17.172477,16.827263000000002,18.646404750000002,1.81914175,0.45772750000000073,16.667903,21.306183
CAL,M2-original,10,27.4823665,27.05287575,27.57244,0.519564250000002,0.3894865000000003,26.674149,28.136588
CAL,M2-shortcut,10,18.0065365,17.764119,18.31681975,0.5527007499999996,0.3475350000000006,17.368634,20.218009
E,M1-original,10,28.4198135,28.22316975,28.7798825,0.5567127499999991,0.2600145000000005,28.027382,31.034939
E,M1-shortcut,10,23.284623,23.009032499999996,23.7043445,0.6953120000000048,0.38201349999999934,22.668574,25.074496
E,M2-original,10,31.340939499999998,30.757391249999998,31.476026249999997,0.718634999999999,0.5659469999999978,29.86668,32.999381
E,M2-shortcut,10,24.198290999999998,23.963039000000002,24.41812775,0.45508874999999804,0.25285849999999854,23.856554,25.176309
W,M1-original,10,38.234154000000004,37.98384475,38.591997250000006,0.6081525000000028,0.34184849999999756,37.431588,42.222006
W,M1-shortcut,10,29.2832485,29.141728,29.3161405,0.17441249999999897,0.13522449999999786,28.860088,29.841885
W,M2-original,10,43.2930785,43.220746749999996,43.458959500000006,0.23821275000000952,0.15971050000000275,42.943254,43.934974
W,M2-shortcut,10,29.984233,29.84838575,30.284699500000002,0.4363137500000036,0.23421150000000068,29.609823,31.011048
USA,M1-original,10,96.2064055,95.6947045,97.6981255,2.003421000000003,0.8764414999999985,94.793653,102.498005
USA,M1-shortcut,10,75.3244055,74.768858,75.4879785,0.7191205000000025,0.49916849999999613,74.151854,78.479556
USA,M2-original,10,119.47115550000001,111.51510975,124.21394975,12.698840000000004,6.083300999999999,103.100111,127.774437
USA,M2-shortcut,10,69.102925,68.31692249999999,70.91479525,2.5978727500000076,1.308005999999999,67.701092,74.903087
